word,sentiment
heikkolaatuinen,1
yllätttävän,1
suruton,-1
kapinallinenkompleksi,-1
pahastidementoituneita,-1
vihanto,-1
iki ihana,1
hyväkuntosia,1
ainutkertainen,1
hymykuopatupea,1
kallliimpi,1
kapinallinenryhmä,-1
epäasiallinen,-1
kauneimman,1
hervoton,1
asenteellinen,-1
vahingoniloinen,-1
yllättävän,1
rikosomainen,-1
pihaakaunis,1
kauniinpi,1
pahansuopa,-1
kaunisvartaloinen,1
rähinäjunkkaa,-1
tuhovoimainen,-1
lutkas,-2
kauneimpia,1
rauhaton,-1
babylonialainen,1
pahalla,-1
perkeleellinen,-1
työttömöksi,-1
ykkönenluokka,1
tuukka,1
valhejaarituksii,1
vastovvaa,1
myrkytön,-1
yllätysherätä,1
vihanen,-1
babysittausta,1
rikosaiheinen,-1
kaunokirjallinen,1
viihtyisssäää,1
paskinta,-1
kauneinta,1
kauneimpien,1
ihana,1
satumainen,1
hyväkuntosen,1
demoninen,-1
tuskaisa,-1
luomuspahimmat,-1
hyvähintainen,1
hyväksikäytettyjä,-2
maakuulu,1
aggresive,-2
purkaaa,1
vaapaa,1
kaikkivoipainenuusi,1
valoisuuttaa,1
odotakkaan,1
katkeraoloinen,-2
euforinen,2
hellävarainen,1
pahi,-1
paniikkiomainen,-1
positiiviinen,1
ihanaa,1
puolueeton,1
aaapuolueetonta,1
rumannäköinen,-1
rasssistinen,-3
tyhmäpiki,-1
vihaisija,-1
pili pali,-1
pahanlaatuinen,-1
kiikkeerän,-1
ystääääääävä,2
hulvaton,1
yllätävä,1
sielullinen,1
syntinenlaulu,-1
kuusaan,1
valenzuela,-1
syöpäsairas,-1
hyvänlaatuinen,1
viisampii,1
hyväjärjestää,1
vittuilla mieli,-3
itkupunainen,-1
iiiihaninta,1
sensuroinnutkin,-1
positiivinenihanaa,1
yllätyksellinen,1
vittuku,-3
liiaallisista,1
tupakkavapaa,1
iisakki,1
hyökkäämättömyys sopimius,-3
lomaosake oma,1
kiinnoasaa,1
vastaanottokeskusisssa,1
paskimmasta,-1
uniikki,1
avioliittolainen,2
idioottii,-2
korruptiovastainen,-2
jalomielinen,1
nyky hullu,-2
hyväksikoetut,1
asekelpoinen,-1
varmakostokaan,-1
asiaankuulumaton,1
kirkkopoliittinen,1
kiiltämäään,1
poikkeavaa,1
vakuutushevonenvoimaluokka,1
aktiivisii,1
mustasukkainenuusi,1
pahilaisia,-1
väkivaltarikollinen,-1
hyväää,2
liikkelllä,1
vammanen,-2
halinnoliset,1
pahamaineinen,-1
vastuuttomanpaa,1
vaihtaamaan,1
parhaiillaan,1
pahaaoloa,-1
vaapaana,1
huijjaa,-3
hyvämuotoinen,1
posiitiivinen,1
hyväksikäytetyksi,-2
pahapuhua,-1
kummaaaaaaaaaaaaaa,-1
rauhallinentakki,1
tooosi,1
ektuhoaa,-1
narsismiuusi,-1
vi viii,1
ii iii,1
pahillilaan,-1
keikkaalue,1
kiusallisat,-1
takarattaatpakka,1
rrrrrr,1
vaikkaa,1
vahingonilosen,-1
valmistettukuninkaallekkin,1
liittolainenmaa,1
kaunihimpi,1
tuuheaturkkinen,1
maahanmuuttajaystävällinen,1
vähähiilihydraattipitoinen,1
kaunainen,1
vauvakuumeinen,1
maankuulu,1
pahimissa,-1
laadukkampaa,1
iloluontoinen,1
betsaamaan,1
jaksapaska,-1
varmaaa,1
pahatieto,-1
äkkiarvaamaton,-1
huijas,-2
halinalleuskovainen,-1
vihonviimeinen,-1
pahassamuistelen,-1
hyväkuntonen,1
kavereitatoisena,1
vaikeeaa,-1
viihdykkeksi,1
vittupäinen,-3
vastuullissiin,1
ihaana,1
viisaanpi,1
mänkkeee,1
sulossiii,1
huonostipahinta,-1
anteeksiantava,1
söde,1
paskempi,-1
paskapuhuaministeriö,-1
itkusilmäinen,-1
kaunistelematon,1
viisaammaat,1
hienoa,1
rumahko,-1
jäykkäliikkeinen,1
kikkapinkki,1
viikkoisen,1
rauhalliseeen,1
itserakkaana,-1
aggressive,-2
pahaenteinen,-1
tarkkaavainen,1
suuruushullu,-2
karkkiriippuvainen,-1
suussasulavaa,1
pahaääninen,-1
neukkutyylinen,-1
anarkistinen,-1
paakkuinen,-1
hyvä,1
vihaisia,-1
sabotoi,-1
ystävällinen,1
pedofili,-4
hyväksikäyttämiksi,-2
hyvältkin,1
taidollavalehtelu,-1
raiskaajakulttuurinen,-4
tuskanen,-1
rikkiviisas,1
kauniit,1
erinomaasuuten,1
paskimpia,-1
perinteikäs,1
kiikkerä,-1
liikenneturvallinenuusi,1
hyvvä,1
maahanmuuttajavaltainen,1
kiinnostaatextaa,1
hyväksettin,1
pedofilinen,-4
vahingollisisa,-1
rakastavast,2
paskempaa,-1
työttömnäksi,-1
poishakkaamiseksi,1
paskaamasta,-1
jalluluuljaa,1
huoltajuuskiistoista,1
ihanaviikon,1
sulautumispolittiikka,1
nyykii,1
viiniinhumaltuneena,1
huutaan,1
vielllä,1
etsintäkuuluutus,1
hauskaaan,2
ruostuaherkkyys,1
kiukkaat,1
kusikeltainen,-1
hiirenharmaa,1
nostaaa,1
hirrrvittävä,-2
liibaalaabaa,1
paskasin,-1
kertalaakistapoikki,1
heijjastuu,1
vastustamaton,1
liikkuvainen,1
yhtäkkiinen,1
huuhtoaa,1
vaaryys,1
uutinentilaisuus,1
tyhmäoloinen,-1
viisaaammat,1
huuattaa,1
viisaamilta,1
tyhmenpää,-1
kunniiaan,1
lueliikaa,1
vasikkaakinneuvostoliiton,1
hyväkstyiksi,1
luuserimpaa,1
pahinta,-1
terroristivastainen,1
tosiii,1
suurisuuri,1
viimeiselllä,1
tääättärääää,1
kurmuuttaa,1
hakattuu,-2
halvatulle,-1
pillukipeä,-1
surumielinen,-1
tarkkaamaton,1
mukavuusssyistä,1
inhoittavaa,-2
upeaa,1
alakkaa,1
raakaaene,1
puolevviikompäästä,1
rauhallisimmella,1
viinahuuruinen,-1
hyväksikäytetyille,-2
reilua pekkaa,1
super onnellinen,1
rauhanenkudos,1
viitsiiosaa,1
pahastiambulanssilla,-1
kiinostavaa,1
niinnnn,1
valennut,-1
paskavarpainen,-1
hurrrja,1
vainonen,-2
hyväsydämminen,1
kepaavaa,1
tyhmäpuoleinen,-1
kiinnostaaa,1
